Subject,Number,Course Title
CMN,340,Visual Politics
CMN,345,Visual Media Effects
CMN,361,Storytelling as Oral Comm
CMN,368,Sexual Communication
CMN,377,Propaganda and Modern Society
CMN,396,Leadership Comm Theory/Pract
CMN,396,Applied Org Comm
CMN,396,Photography and Public Life
CMN,396,"Race, Class, Gender & Work"
CMN,396,Media Communication
CMN,412,Adv Organizational Comm
CMN,429,Race and the Mass Media
CMN,462,Interpersonal Health Comm
CMN,463,Organizational Health Comm
CMN,464,Health Communication Campaigns
CMN,465,Social Marketing Health&Behav
CMN,595,Cultural Consid in Hlthcare
CPSC,112,Introduction to Crop Sciences
CPSC,113,"Environment, Agric, & Society"
CPSC,213,Evolution in Action
CPSC,226,Introduction to Weed Science
CPSC,270,Applied Entomology
CPSC,414,Forage Crops and Pasture Eco
CPSC,440,Applied Statistical Methods I
CPSC,441,Introduction to R Programming
CPSC,498,Crop Sci Professional Develpmt
CS,100,Freshman Orientation
CS,101,Intro Computing: Engrg & Sci
CS,105,Intro Computing: Non-Tech
CS,125,Intro to Computer Science
CS,126,Software Design Studio
CS,173,Discrete Structures
CS,196,Freshman Honors
CS,199,Python for Data
CS,210,Ethical & Professional Issues
CS,225,Data Structures
CS,233,Computer Architecture
CS,241,System Programming
CS,242,Programming Studio
CS,296,Honors Course
CS,357,Numerical Methods I
CS,361,Prob & Stat for Computer Sci
CS,374,Intro to Algs & Models of Comp
CS,410,Text Information Systems
CS,411,Database Systems
CS,412,Introduction to Data Mining
CS,418,Interactive Computer Graphics
CS,420,Parallel Progrmg: Sci & Engrg
CS,421,Progrmg Languages & Compilers
CS,424,Real-Time Systems
CS,425,Distributed Systems
CS,426,Compiler Construction
CS,427,Software Engineering I
CS,433,Computer System Organization
CS,438,Communication Networks
CS,440,Artificial Intelligence
CS,445,Computational Photography
CS,446,Machine Learning
CS,447,Natural Language Processing
CS,450,Numerical Analysis
CS,461,Computer Security I
CS,465,User Interface Design
CS,466,Introduction to Bioinformatics
CS,473,Algorithms
CS,498,Applied Cryptography
CS,498,Cyber Dystopia
CS,498,Cloud Networking
CS,498,Computational Advertising
CS,498,Internet of Things
CS,498,Reinforcement Learning
CS,498,Virtual Reality
CS,510,Advanced Information Retrieval
CS,523,Advanced Operating Systems
CS,554,Parallel Numerical Algorithms
CS,598,Foundations of Data Curation
CS,598,Adversarial Machine Learning
CS,598,Deep Learning Theory
CS,598,Advanced Bayesian Modeling
CS,598,Consensus Algorithms
CS,598,Mach Lrng for Signal Processng
CS,598,Practical Statistical Learning
CW,100,Intro to Creative Writing
CWL,114,Global Consciousness and Lit
CWL,189,Lit of Asia & Africa I
CWL,241,Early Masterpieces West Cultur
DANC,100,Intro to Contemporary Dance
DANC,105,Jazz Dance I
DANC,125,Black Dances of Resistance
DANC,167,Beginning Ballet Tech Elect
DANC,200,Explore Music through Dance
EALC,240,Chinese Civilization
EALC,250,Intro to Japanese Culture
EALC,275,Masterpieces of East Asian Lit
EALC,398,CHIN Language Processing
ECE,110,Introduction to Electronics
ECE,120,Introduction to Computing
ECE,199,Undergraduate Open Seminar
ECE,205,Electrical & Electronic Ckts
ECE,206,Electrical & Electronics Lab
ECE,210,Analog Signal Processing
ECE,211,Analog Circuits & Systems
ECE,220,Computer Systems & Programming
ECE,304,Photonic Devices
ECE,310,Digital Signal Processing
ECE,311,Digital Signal Processing Lab
ECE,313,Probability with Engrg Applic
ECE,316,Ethics and Engineering
ECE,329,Fields and Waves I
ECE,330,Power Ckts & Electromechanics
ECE,333,Green Electric Energy
ECE,340,Semiconductor Electronics
ECE,342,Electronic Circuits
ECE,343,Electronic Circuits Laboratory
ECE,350,Fields and Waves II
ECE,365,Data Science and Engineering
ECE,380,Biomedical Imaging
ECE,385,Digital Systems Laboratory
ECE,391,Computer Systems Engineering
ECE,395,Advanced Digital Projects Lab
ECE,402,Electronic Music Synthesis
ECE,408,Applied Parallel Programming
ECE,411,Computer Organization & Design
ECE,417,Multimedia Signal Processing
ECE,420,Embedded DSP Laboratory
ECE,425,Intro to VLSI System Design
ECE,437,Sensors and Instrumentation
ECE,444,IC Device Theory & Fabrication
ECE,445,Senior Design Project Lab
ECE,464,Power Electronics
ECE,469,Power Electronics Laboratory
ECE,476,Power System Analysis
ECE,482,Digital IC Design
ECE,486,Control Systems
ECE,515,Control System Theory & Design
ECE,517,Nonlinear & Adaptive Control
ECE,534,Random Processes
ECE,540,Computational Electromagnetics
ECE,544,Pattern Recognition
ECE,551,Digital Signal Processing II
ECE,563,Information Theory
ECE,564,Modern Light Microscopy
ECE,566,Computational Inference
ECE,598,Deep Learning in Hardware
ECE,598,Learning-Based Robotics
ECE,598,2D Material Electr & Photonics
ECON,102,Microeconomic Principles
ECON,103,Macroeconomic Principles
ECON,202,Economic Statistics I
ECON,203,Economic Statistics II
ECON,302,Inter Microeconomic Theory
ECON,303,Inter Macroeconomic Theory
ECON,402,American Economic History
ECON,411,Public Sector Economics
ECON,414,Urban Economics
ECON,415,Environmental Economics
ECON,418,Health Economics
ECON,420,International Economics
ECON,425,Macroeconomic Policy
ECON,426,Monetary Economics and Policy
ECON,437,Game Theory
ECON,440,Economics of Labor Markets
ECON,442,Women in the Economy
ECON,447,Economics of the Workplace
ECON,448,Employee Comp & Incentives
ECON,450,Development Economics
ECON,451,Program Eval in Dev Econ
ECON,471,Intro to Applied Econometrics
ECON,475,Economic Forecasting
ECON,484,Law and Economics
ECON,490,Econ of the Digital Economy
ECON,490,Applied Machine Learning: Econ
ECON,490,Economic Growth
ECON,490,International Trade
ECON,490,Econ of Organizations
ECON,500,Microeconomics
ECON,501,Macroeconomics
ECON,502,Economic Statistics
ECON,504,Time Series Analysis in Econ
ECON,505,Introduction to Game Theory
ECON,516,Monetary Theory
ECON,528,Microeconomics for Business
ECON,532,Econometric Analysis I
ECON,590,Third-Year Paper Seminar
ECON,590,Adv Student Research Seminar
EDUC,101,Education Orientation Seminar
EDUC,201,Identity and Difference in Edu
EDUC,202,Social Justice Sch & Society
ENG,101,Engineering at Illinois
ENG,110,Comm & Pres Engr
ENG,177,Inspiring Interacting Informng
ENG,177,Career Ready
ENG,177,Grand Challenges
ENG,177,Introduction to Sustainability
ENG,177,IEFX Projects 1
ENG,177,IEFX Projects 2
ENG,177,Strategies for Intl Developmnt
ENG,199,Intro to Engrg-ARISE
ENG,471,Seminar Energy & Sustain Engrg
ENG,598,Teaching and Leadership
ENGL,103,Intro to Fiction
ENGL,104,Introduction to Film
ENGL,109,Intro to Fiction-ACP
ENGL,115,Intro to British Literature
ENGL,116,Intro to American Literature
ENGL,119,Literature of Fantasy
ENGL,120,"Unsung Heroines, Year of Women"
ENGL,122,Middle Ages in Popular Culture
ENGL,200,Intro to Lit and Culture
ENGL,202,Medieval Lit and Culture
ENGL,204,Renaissance Lit and Culture
ENGL,206,Enlightenment Lit and Culture
ENGL,218,Introduction to Shakespeare
ENGL,245,The Short Story
ENGL,247,The British Novel
ENGL,253,Topics in Lit and New Media
ENGL,259,Early African American Lit
ENGL,260,Modern African American Lit
ENGL,273,"American Cinema, 1950-2000"
ENGL,285,Postcolonial Lit in English
ENGL,301,How to Interpret Literature
ENGL,301,Intro to Critical Theory
ENGL,330,Slavery and Identity
ENGL,350,Writing about Lit Text Culture
ENGL,350,21stCentury African-Amer Lit
ENGL,350,After the Apocalypse!
ENGL,373,Crime Films
ENGL,407,Introduction to Old English
ENGL,418,Shakespeare
ENGL,455,Weird Writers
ENGL,481,Composition Theory & Practice
EOL,542,Leading Learning-Centrd Schls
EOL,547,Education Law
EPOL,500,EdD Essentials Seminar
EPOL,550,Methods of Educational Inquiry
EPS,310,Race and Cultural Diversity
EPS,400,History of American Education
EPS,402,Asian American Education
EPS,412,Critical Thinking in Ed
EPS,423,Politics of Education
EPS,530,Education and Globalization
EPS,533,Global Youth & Citizenship
EPS,538,Globalization of Higher Ed
EPSY,201,Educational Psychology
EPSY,202,Exploring Cultural Diversity
EPSY,220,Career Theory and Practice
EPSY,401,Child Language and Education
EPSY,420,Theories of Psychotherapy
EPSY,430,Early Adolescent Development
EPSY,456,Human Perform & Cogn in Contxt
EPSY,480,Educational Statistics
EPSY,485,Assessing Student Performance
EPSY,578,Qualitative Inquiry Methods
EPSY,580,Statistical Inference in Educ
ESE,100,Sustainable Earth
ESE,200,Earth Systems
ESE,360,Environmental Writing
FAA,101,Arts at Illinois
FAA,102,Design Beyond Boundaries
FIN,221,Corporate Finance
FIN,230,Introduction to Insurance
FIN,241,Fundamentals of Real Estate
FIN,300,Financial Markets
FIN,321,Advanced Corporate Finance
FIN,392,Investment Management Academy
FIN,411,Investment & Portfolio Mngt
FIN,412,Options and Futures Markets
FIN,423,Financing Emerging Businesses
FIN,424,Mergers and Acquisition
FIN,435,Personal Wealth Management
FIN,443,Legal Issues in Real Estate
FIN,444,Urban Real Estate Valuation
FIN,445,Real Estate Investment
FIN,447,Real Estate Development
FIN,463,Investment Banking
FIN,500,Introduction to Finance
FIN,501,Econ of Market Fundamentals
FIN,511,Investments
FIN,512,Financial Derivatives
FIN,516,Term Structure Models
FIN,518,Financial Modeling
FIN,520,Financial Management
FIN,521,Advanced Corporate Finance
FIN,522,Cases in Financial Strategy
